System Code,SKU,Product,HS Code,Bar Code,MRP,Sale Price,Main Category,Brand,Make Up City - North,Liquidation Stock RWL,Tariq Trader Warehouse (PSH),FOC Warehouse - Rawalpindi,Tester Warehouse - Rawalpindi,Damage & Expire Warehouse - Rawalpindi,Commercial/Fresh Stock,Stock In Transit,Total,Status
21149,202445,ADS PRO INVISIBLE M A/P BODY SPRAY 150ML,0,3616303440404.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,24,0,24,
21150,202446,ADS POWER BOOSTER M A/P BODY SPRAY 150ML,0,3616303842178.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,24,0,24,
21151,202447,ADS FRESH ENDURANCE M A/P BODY SPRAY 150ML,0,3616303443474.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,24,0,24,
21152,202448,ADS FRESH M A/P BODY SPRAY 150ML,0,3616303440015.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,24,0,24,
21153,202449,ADS 6 IN 1 M A/P BODY SPRAY 150ML,0,3616303440145.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,24,0,24,
21154,202450,ADS DYNAMIC PULSE BODY SPRAY 150ML,0,3616303441173.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,24,0,24,
21155,202451,ADS ICE DIVE DEO BODY SPRAY 150ML,0,3616303440787.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,24,0,24,
21156,202452,ADS TEAM FORCE BODY SPRAY 150ML,0,3616303441302.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,27,0,27,
21157,202453,ADS VICTORY LEAGUE BODY SPRAY 150ML,0,3616303441043.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,27,0,27,
21158,202454,ADS PURE GAME BODY SPRAY 150ML,0,3616303440923.00,1280,676,Commercial,Adidas,0,0,0,0,0,0,27,0,27,
21172,202468,ADS ICE DIVE EDT 100ML,0,3616303321932.00,3150,2016,Commercial,Adidas,0,0,0,0,0,0,2,0,2,
21173,202469,ADS PURE GAME EDT 100ML,0,3616303322021.00,3150,2016,Commercial,Adidas,0,0,0,0,0,0,2,0,2,
21174,202470,ADS TEAM FORCE EDT 100ML,0,3616303322144.00,3150,2016,Commercial,Adidas,0,0,0,0,0,0,2,0,2,
21175,202471,ADS VICTORY LEAGUE EDT 100ML,0,3616303322052.00,3150,2016,Commercial,Adidas,0,0,0,0,0,0,2,0,2,
21176,202472,ADS ENERGY DRIVE EDP 100Ml,0,3616305447067.00,5550,3552,Commercial,Adidas,0,0,0,0,0,0,6,0,6,
21177,202473,ADS FULL RECHARGE EDP 100Ml,0,3616305447050.00,5550,3552,Commercial,Adidas,0,0,0,0,0,0,6,0,6,
21178,202474,ADS CHILL ZONE EDP 100ML,0,3616305447197.00,5550,3552,Commercial,Adidas,0,0,0,0,0,0,6,0,6,
21179,202475,ADS GET COMFY EDP 100ML,0,3616305447166.00,5550,3552,Commercial,Adidas,0,0,0,0,0,0,6,0,6,
21180,202476,ADS HAPPY FEELS EDP 100ML,0,3616305447159.00,5550,3552,Commercial,Adidas,0,0,0,0,0,0,6,0,6,
21181,202477,ADS SPARK UP EDP 100ML,0,3616305447210.00,5550,3552,Commercial,Adidas,0,0,0,0,0,0,6,0,6,
20957,202331,ASPEN FOR MEN EDC 118ML,0,3614229832259.00,4600,2576,Commercial,ASPEN,0,0,0,0,0,0,1,0,1,
10825,200265,BNT COLORS ROSE WOMAN EDT 50ml,0,8433982013171.00,2886,1731,Commercial,Benetton,0,0,0,0,0,0,2,0,2,Regular
5413,14602,BNT LETS FLY MINI FOLD SPEAKER,0,0.00,0,0,Non Active,Benetton,0,0,0,0,0,0,15,0,15,Ongoing
7813,9008,EYEBROWS - BROW PALETTE 01 - Tester,0,0.00,0,0,Tester,Bourjois,0,0,0,0,0,0,2,0,2,Ongoing
7814,9009,EYEBROWS - BROW PALETTE 02 - Tester,0,0.00,0,0,Tester,Bourjois,0,0,0,0,0,0,6,0,6,Ongoing
7815,9010,EYEBROWS - BROW POMADE BLOND - Tester,0,0.00,0,0,Tester,Bourjois,0,0,0,0,0,0,4,0,4,Ongoing
